"","housenumber","street","city","state","zip","country"
"907","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"908","House Number Not Found","Street Not Found","Montalcino","Tuscany","Postcode Not Found","Italy"
"909","House Number Not Found","Street Not Found","<U+0418><U+0437><U+043C><U+0430><U+0439><U+043B><U+0438><U+0445><U+0438><U+043D><U+0441><U+043A><U+043E><U+0435> <U+0441><U+0435><U+043B><U+044C><U+0441><U+043A><U+043E><U+0435> <U+043F><U+043E><U+0441><U+0435><U+043B><U+0435><U+043D><U+0438><U+0435>","Primorsky Krai","692193","Russia"
"910","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"911","House Number Not Found","Street Not Found","City Not Found","Constan<U+021B>a","Postcode Not Found","Romania"
"912","4","Schlossstraße","Simmern/Hunsrück","Rhineland-Palatinate","55469","Germany"
"913","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"914","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"915","House Number Not Found","Street Not Found","Sìnnia/Sinnai","Sardinia","09048","Italy"
"916","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"917","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"918","House Number Not Found","Street Not Found","Yavu","Sivas","Postcode Not Found","Turkey"
"919","House Number Not Found","Street Not Found","Taizhou","Jiangsu","225300","China"
"920","52","Eikjolveien","Ski","Akershus","1400","Norway"
"921","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"922","House Number Not Found","Street Not Found","<U+041C><U+0435><U+0434><U+0432><U+0435><U+0434><U+0435><U+0432><U+0441><U+043A><U+043E><U+0435> <U+0441><U+0435><U+043B><U+044C><U+0441><U+043A><U+043E><U+0435> <U+043F><U+043E><U+0441><U+0435><U+043B><U+0435><U+043D><U+0438><U+0435>","Smolensk Oblast","215354","Russia"
"923","House Number Not Found","Street Not Found","Bagaha","Bihar","845118","India"
"924","House Number Not Found","Street Not Found","Sokobanja Municipality","Central Serbia","18230","Serbia"
"925","House Number Not Found","Street Not Found","Romorantin-Lanthenay","Centre-Loire Valley","41200","France"
"926","58","Street Not Found","Soltmany","Warmian-Masurian Voivodeship","11-612","Poland"
"927","House Number Not Found","Street Not Found","Kyotanba","Kyoto Prefecture","<U+3012>622-0315","Japan"
"928","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"929","House Number Not Found","Street Not Found","City Not Found","Dolj","207540","Romania"
"930","House Number Not Found","Omaria Road","Opuyo","Soroti","Postcode Not Found","Uganda"
"931","House Number Not Found","Street Not Found","Listrac-de-Durèze","New Aquitaine","33790","France"
"932","52","Le Clos des Rochettes","Rocheservière","Pays de la Loire","85620","France"
"933","House Number Not Found","Evarist De Buckstraat","Ghent","Flanders","9040","Belgium"
"934","House Number Not Found","Street Not Found","City Not Found","Brittany","35370","France"
"935","House Number Not Found","Street Not Found","Saint Louis","Missouri","63147","United States of America"
"936","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"937","House Number Not Found","Street Not Found","Dameron","Maryland","20653","United States of America"
"938","House Number Not Found","Street Not Found","City Not Found","Grand Est","10280","France"
"939","29","Marjatie","Mikkeli","Eastern Finland","50600","Finland"
"940","House Number Not Found","Street Not Found","Saint-Chinian","Occitania","34360","France"
"941","House Number Not Found","Street Not Found","Ställdalen","Örebro County","71472","Sweden"
"942","House Number Not Found","Street Not Found","City Not Found","Southeast","58833","Czech Republic"
"943","143","Lenina Street","Stavropol","Stavropol Krai","355000","Russia"
"944","House Number Not Found","Rue d'Armentières","Comines","Nord-Pas-de-Calais and Picardy","59560","France"
"945","House Number Not Found","<U+0443><U+043B><U+0438><U+0446><U+0430> <U+0411><U+0430><U+0431><U+0443><U+0448><U+043A><U+0438><U+043D><U+0430>","Sterlitamak","Bashkortostan","453112","Russia"
"946","House Number Not Found","Street Not Found","Stolzenau","Lower Saxony","31592","Germany"
"947","1505","Barnum Avenue","Stratford","Connecticut","06615","United States of America"
"948","House Number Not Found","Street Not Found","West Cairns (of Aberbothrie)","Scotland","PH11 8NQ","United Kingdom"
"949","House Number Not Found","Street Not Found","South Hams","England","PL21 9TW","United Kingdom"
"950","379","Rang de Picoudi","Saint-Robert","Quebec","Postcode Not Found","Canada"
"951","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"952","House Number Not Found","Street Not Found","Police nad Metují","Northeast","54962","Czech Republic"
"953","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"954","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"955","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"956","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"957","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"958","House Number Not Found","River Park Drive","Lotus","California","95651","United States of America"
"959","House Number Not Found","Street Not Found","Oak Grove","Alabama","35150","United States of America"
"960","House Number Not Found","Street Not Found","Tábor","Southwest","39001","Czech Republic"
"961","House Number Not Found","Avenue Colonel Lotfi","Setif","Setif","19000","Algeria"
"962","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"963","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"964","House Number Not Found","Street Not Found","Asago","Hyogo Prefecture","Postcode Not Found","Japan"
"965","House Number Not Found","Street Not Found","Bakalan","East Java","Postcode Not Found","Indonesia"
"966","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"967","House Number Not Found","Street Not Found","Nagahama","Shiga Prefecture","5290241","Japan"
"968","House Number Not Found","Street Not Found","Deshun","Jilin","Postcode Not Found","China"
"969","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"970","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"971","House Number Not Found","baranhawsTobzawe","Sanur","Kirkuk","375","Iraq"
"972","House Number Not Found","Street Not Found","Tau<U+021B>i","Cluj","407282","Romania"
"973","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"974","House Number Not Found","Kähri — Koorvere","Kiuma","State Not Found","Postcode Not Found","Estonia"
"975","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"976","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"977","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"978","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"979","House Number Not Found","Street Not Found","Loucany","Central Moravia","78346","Czech Republic"
"980","House Number Not Found","Street Not Found","City Not Found","Illinois","62237","United States of America"
"981","House Number Not Found","Street Not Found","City Not Found","Tillabéri","Postcode Not Found","Niger"
"982","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"983","House Number Not Found","Street Not Found","Tirupati","Andhra Pradesh","517500","India"
"984","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"985","House Number Not Found","Street Not Found","City Not Found","Central Java","Postcode Not Found","Indonesia"
"986","House Number Not Found","Street Not Found","Bogor","West Java","16121","Indonesia"
"987","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"988","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"989","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"990","House Number Not Found","National Highway Route 4","Tomiya","Miyagi Prefecture","9813329","Japan"
"991","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"992","3/A","Via Francesco Paciotto","Turin","Piemont","10121","Italy"
"993","House Number Not Found","Street Not Found","Torrington","Wyoming","82224","United States of America"
"994","House Number Not Found","Street Not Found","Toulouse","Occitania","31300","France"
"995","House Number Not Found","Street Not Found","Tunka","Buryatia","671020","Russia"
"996","House Number Not Found","Street Not Found","Beauvechain","Wallonia","1320","Belgium"
"997","House Number Not Found","Street Not Found","Trebbin","Brandenburg","14959","Germany"
"998","House Number Not Found","Street Not Found","Trenzano","Lombardy","Postcode Not Found","Italy"
"999","3","Am Alten Feld","Schwalmstadt","Hesse","34613","Germany"
"1000","46","Alveveien","Lofstad","East Agder","4812","Norway"
"1001","House Number Not Found","Street Not Found","Sinclair City","Texas","75789","United States of America"
"1002","19","Steggfallet","Trysil","Hedmark","2420","Norway"
"1003","House Number Not Found","<U+4E26><U+6728><U+5927><U+6A4B> (Namiki Ohashi)","Tsukuba","Ibaraki Prefecture","305-0045","Japan"
"1004","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1005","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1006","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1007","House Number Not Found","Street Not Found","City Not Found","Wisconsin","54733","United States of America"
"1008","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1009","3","Solheimsdalen","Onarheim","Hordaland","5694","Norway"
"1010","15","<U+0411><U+0430><U+0440><U+0440><U+0438><U+043A><U+0430><U+0434><U+043D><U+0430><U+044F> <U+0443><U+043B><U+0438><U+0446><U+0430>","Tyumen","Tyumen Oblast","625000","Russia"
"1011","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1012","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1013","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1014","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1015","70","Kastanjeweg","Uden","North Brabant","5401JP","The Netherlands"
"1016","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1017","House Number Not Found","Street Not Found","Ufana","Manyara","Postcode Not Found","Tanzania"
"1018","House Number Not Found","Street Not Found","Ulmiz","Fribourg","3214","Switzerland"
"1019","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1020","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1021","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1022","House Number Not Found","Street Not Found","Jangheung-gun","Jeollanam-do","Postcode Not Found","South Korea"
"1023","House Number Not Found","Street Not Found","Fukuyama","Hiroshima Prefecture","720-0838","Japan"
"1024","129","Sokolská","Ústí nad Orlicí","Northeast","56204","Czech Republic"
"1025","House Number Not Found","Street Not Found","De Bilt","Utrecht","3721WV","The Netherlands"
"1026","House Number Not Found","Street Not Found","Utzenstorf","Bern","3427","Switzerland"
"1027","House Number Not Found","Street Not Found","Lavagno","Veneto","37042","Italy"
"1028","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1029","House Number Not Found","Street Not Found","City Not Found","Lombardy","Postcode Not Found","Italy"
"1030","6","Via Valdinoce centro","Meldola","Emilia-Romagna","47014","Italy"
"1031","House Number Not Found","Street Not Found","Valera","Trujillo","3101","Venezuela"
"1032","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1033","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1034","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1035","House Number Not Found","Street Not Found","<U+0628><U+0647><U+0646><U+0627><U+0645> <U+067E><U+0627><U+0632><U+0648><U+06A9><U+06CC> <U+062C><U+0646><U+0648><U+0628><U+06CC>","Tehran Province","009821","Iran"
"1036","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1037","House Number Not Found","Street Not Found","Red Mound","Wisconsin","54624","United States of America"
"1038","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1039","251","Via Consorziale","Bondeno","Emilia-Romagna","44012","Italy"
"1040","House Number Not Found","Street Not Found","Santibáñez de la Peña","Castile and León","Postcode Not Found","Spain"
"1041","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1042","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1043","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Bulgaria"
"1044","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1045","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1046","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1047","House Number Not Found","Street Not Found","Vouillé","New Aquitaine","86190","France"
"1048","House Number Not Found","Street Not Found","City Not Found","Oklahoma","73572","United States of America"
"1049","House Number Not Found","Street Not Found","Hopewell","Missouri","Postcode Not Found","United States of America"
"1050","House Number Not Found","E Street","Washougal","Washington","98671","United States of America"
"1051","House Number Not Found","<U+0645><U+0633><U+0647>-<U+0634><U+062D><U+0627><U+062A> Shahhat-Massah","Mansurah","Jabal al Akhdar","Postcode Not Found","Libya"
"1052","House Number Not Found","tr. Masarykova","Veselí nad Moravou","Southeast","69801","Czech Republic"
"1053","House Number Not Found","Street Not Found","Rock Raymond","Connecticut","06612","United States of America"
"1054","House Number Not Found","Street Not Found","Town of Wethersfield","Connecticut","06109","United States of America"
"1055","441","Wolcott Hill Road","Town of Wethersfield","Connecticut","06109","United States of America"
"1056","House Number Not Found","Street Not Found","City Not Found","Arizona","Postcode Not Found","United States of America"
"1057","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1058","House Number Not Found","Street Not Found","Albert Luthuli Local Municipality","Mpumalanga","1185","South Africa"
"1059","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1060","House Number Not Found","Street Not Found","Beaufort West Local Municipality","Western Cape","6970","South Africa"
"1061","House Number Not Found","Street Not Found","City Not Found","Oromia Region","Postcode Not Found","Ethiopia"
"1062","House Number Not Found","Street Not Found","Wold Newton","England","YO25 3YQ","United Kingdom"
"1063","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1064","House Number Not Found","Street Not Found","Salem Township","Michigan","48175","United States of America"
"1065","House Number Not Found","Street Not Found","City Not Found","Hebei","056000","China"
"1066","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1067","House Number Not Found","Street Not Found","West Ujimqin Banner","Inner Mongolia","+976","China"
"1068","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1069","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1070","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1071","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1072","House Number Not Found","Street Not Found","City Not Found","Guangdong","Postcode Not Found","China"
"1073","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1074","House Number Not Found","Street Not Found","City Not Found","Andhra Pradesh","Postcode Not Found","India"
"1075","House Number Not Found","Street Not Found","Niigata","Niigata Prefecture","950-1304","Japan"
"1076","House Number Not Found","Street Not Found","Yorktown","New York","10598","United States of America"
"1077","House Number Not Found","National Route 9;Yamaguchi Bypass","Yamaguchi","Yamaguchi Prefecture","753-0075","Japan"
"1078","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1079","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1080","House Number Not Found","Street Not Found","City Not Found","Zhytomyr Oblast","12700-12705","Ukraine"
"1081","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1082","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1083","House Number Not Found","Street Not Found","Yankara","Katsina","Postcode Not Found","Nigeria"
"1084","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1085","House Number Not Found","Street Not Found","Kami","Kochi Prefecture","782-0009","Japan"
"1086","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1087","House Number Not Found","Street Not Found","Zavetnoye","Rostov Oblast","Postcode Not Found","Russia"
"1088","House Number Not Found","Street Not Found","Mali Zvornik Municipality","Central Serbia","15318","Serbia"
"1089","75","Street Not Found","Chlustina","Central Bohemia","26751","Czech Republic"
"1090","House Number Not Found","Street Not Found","City Not Found","Vilnius County","20388","Lithuania"
"1091","House Number Not Found","Street Not Found","City Not Found","Heilongjiang","Postcode Not Found","China"
"1092","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1093","House Number Not Found","Street Not Found","Zhuanghe","Liaoning","Postcode Not Found","China"
"1094","House Number Not Found","Street Not Found","<U+041B><U+044E><U+0442><U+044B><U+0439> <U+0411><U+043E><U+0440>","Brest Region","225502","Belarus"
"1095","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1096","House Number Not Found","Street Not Found","Zsadány","Great Plain and North","5537","Hungary"
"1097","House Number Not Found","Street Not Found","Zdorivka","Kyiv Oblast","08627","Ukraine"
